winner,loser,probability
San Antonio Spurs,Charlotte Hornets,0.5439179856130965
Utah Jazz,Toronto Raptors,0.5721848933870647
Washington Wizards,Cleveland Cavaliers,0.5974053642640191
Chicago Bulls,New Orleans Pelicans,0.5432514952650155
Denver Nuggets,Golden State Warriors,0.5303558842994083
Detroit Pistons,Sacramento Kings,0.5260040464718634
Los Angeles Clippers,Memphis Grizzlies,0.5540052333098113
Minnesota Timberwolves,Dallas Mavericks,0.533486752630177
Cleveland Cavaliers,Atlanta Hawks,0.5585167376101751
Houston Rockets,Utah Jazz,0.5784576949483792
Los Angeles Clippers,Miami Heat,0.5574893895803062
Los Angeles Lakers,Memphis Grizzlies,0.5586128402398778
Minnesota Timberwolves,Charlotte Hornets,0.51992685024469
New York Knicks,Indiana Pacers,0.5566274324405447
Orlando Magic,Boston Celtics,0.552974970741711
Portland Trail Blazers,Oklahoma City Thunder,0.5715770919401396
San Antonio Spurs,Phoenix Suns,0.5004444407558133
Toronto Raptors,Washington Wizards,0.6244788721301683
Atlanta Hawks,Boston Celtics,0.5605848514064482
Golden State Warriors,Miami Heat,0.5479033001903386
Phoenix Suns,Brooklyn Nets,0.5217585008262405
Cleveland Cavaliers,Milwaukee Bucks,0.5615708693818617
Denver Nuggets,Brooklyn Nets,0.5062809623923763
Indiana Pacers,New Orleans Pelicans,0.5366295098718249
New York Knicks,Charlotte Hornets,0.5465228985275744
Portland Trail Blazers,Memphis Grizzlies,0.5667399396112692
Sacramento Kings,Oklahoma City Thunder,0.5543985533196384
San Antonio Spurs,Los Angeles Clippers,0.5429805302671719
Toronto Raptors,Chicago Bulls,0.5535066021903311
Utah Jazz,Philadelphia 76ers,0.5492180296831619
Washington Wizards,Dallas Mavericks,0.5806911548927727
Boston Celtics,Los Angeles Lakers,0.5288062941380238
Detroit Pistons,Indiana Pacers,0.5451572249385721
Golden State Warriors,Minnesota Timberwolves,0.5401845054157867
Orlando Magic,New York Knicks,0.5462216832443003
Phoenix Suns,Miami Heat,0.5394682334035767
Denver Nuggets,Oklahoma City Thunder,0.5254410817112146
Houston Rockets,Cleveland Cavaliers,0.5894347509002308
Sacramento Kings,Philadelphia 76ers,0.550290784282204
Toronto Raptors,New Orleans Pelicans,0.5357694614468347
Washington Wizards,Los Angeles Lakers,0.5535543636410467
Boston Celtics,Charlotte Hornets,0.5427761022957854
Chicago Bulls,Indiana Pacers,0.55569194243169
Detroit Pistons,Atlanta Hawks,0.5660448891410834
Oklahoma City Thunder,Los Angeles Clippers,0.5332081178741258
Phoenix Suns,Orlando Magic,0.5211066528669833
Portland Trail Blazers,Brooklyn Nets,0.5526939663669833
San Antonio Spurs,Milwaukee Bucks,0.577857723087341
Utah Jazz,Miami Heat,0.5519396836667846
Dallas Mavericks,Cleveland Cavaliers,0.5686673830804966
Denver Nuggets,Orlando Magic,0.5056280071260629
Golden State Warriors,Philadelphia 76ers,0.5451773320833745
Houston Rockets,Memphis Grizzlies,0.5638008785256478
Milwaukee Bucks,Los Angeles Lakers,0.5358720893640861
New Orleans Pelicans,Los Angeles Clippers,0.5297548061824037
New York Knicks,Sacramento Kings,0.5375475295993216
Phoenix Suns,Minnesota Timberwolves,0.5317285076596594
San Antonio Spurs,Chicago Bulls,0.5592823444627533
Utah Jazz,Brooklyn Nets,0.5342955273343651
Washington Wizards,Atlanta Hawks,0.5978890710541035
Boston Celtics,Toronto Raptors,0.5710953845667974
Detroit Pistons,Miami Heat,0.5430943105172414
Indiana Pacers,Houston Rockets,0.554847734119634
Oklahoma City Thunder,Dallas Mavericks,0.5476561084569598
Golden State Warriors,Orlando Magic,0.5295847679212998
Los Angeles Clippers,Philadelphia 76ers,0.5547742533200176
Milwaukee Bucks,Memphis Grizzlies,0.5543671567798194
New Orleans Pelicans,Atlanta Hawks,0.5617832649152776
New York Knicks,Cleveland Cavaliers,0.5769057685489406
Phoenix Suns,Los Angeles Lakers,0.5173663735129437
Portland Trail Blazers,Denver Nuggets,0.5387563417672245
Utah Jazz,Minnesota Timberwolves,0.5442324775988172
Washington Wizards,Sacramento Kings,0.5584946934036749
Brooklyn Nets,Boston Celtics,0.5374090977314528
Dallas Mavericks,San Antonio Spurs,0.5452705756759737
Houston Rockets,Toronto Raptors,0.5873387175912614
Atlanta Hawks,Sacramento Kings,0.5445002611353773
Charlotte Hornets,Cleveland Cavaliers,0.5666982262883027
Los Angeles Lakers,Philadelphia 76ers,0.5593802342265446
Memphis Grizzlies,Indiana Pacers,0.5696908099246705
Miami Heat,Washington Wizards,0.6290026051613762
Milwaukee Bucks,Detroit Pistons,0.5430531576406479
Minnesota Timberwolves,San Antonio Spurs,0.5270649254530375
New Orleans Pelicans,Toronto Raptors,0.5591557374766352
New York Knicks,Utah Jazz,0.565840468451411
Oklahoma City Thunder,Chicago Bulls,0.5495693468659069
Portland Trail Blazers,Orlando Magic,0.5520480830070895
Boston Celtics,Golden State Warriors,0.5570989169652739
Phoenix Suns,Houston Rockets,0.5472977465097913
Brooklyn Nets,Utah Jazz,0.5496559203255206
Chicago Bulls,Charlotte Hornets,0.5455834936307566
Cleveland Cavaliers,Los Angeles Clippers,0.5264507815103472
Dallas Mavericks,Minnesota Timberwolves,0.5385195608342654
Denver Nuggets,New Orleans Pelicans,0.5135712125942549
Indiana Pacers,Detroit Pistons,0.5321847535592081
Los Angeles Lakers,Phoenix Suns,0.5106884851297107
Sacramento Kings,Portland Trail Blazers,0.5376245734535432
San Antonio Spurs,Oklahoma City Thunder,0.553365395307814
Toronto Raptors,New York Knicks,0.5385104578684774
Washington Wizards,Miami Heat,0.5753592094215723
Atlanta Hawks,Boston Celtics,0.5605848514064482
Charlotte Hornets,Los Angeles Clippers,0.5352319080337077
Dallas Mavericks,Milwaukee Bucks,0.5721976154258301
Memphis Grizzlies,Houston Rockets,0.5753784312827758
Orlando Magic,Utah Jazz,0.5651431539688393
Philadelphia 76ers,Golden State Warriors,0.5440358022935784
Portland Trail Blazers,Sacramento Kings,0.5532914763769142
Brooklyn Nets,Golden State Warriors,0.5446022576116548
Los Angeles Lakers,Denver Nuggets,0.5305391421226409
Miami Heat,Indiana Pacers,0.5530290087802339
Minnesota Timberwolves,Detroit Pistons,0.5131179125615981
Phoenix Suns,Chicago Bulls,0.5468096229024751
Toronto Raptors,Washington Wizards,0.6244788721301683
Charlotte Hornets,Minnesota Timberwolves,0.5365249445526836
Dallas Mavericks,Boston Celtics,0.5453421549910789
Detroit Pistons,Cleveland Cavaliers,0.565550710979618
Memphis Grizzlies,Portland Trail Blazers,0.552360282845757
Milwaukee Bucks,Washington Wizards,0.6354764709749529
New Orleans Pelicans,Oklahoma City Thunder,0.5401857020081784
New York Knicks,Los Angeles Clippers,0.545586324253612
Orlando Magic,Indiana Pacers,0.5559269336200453
Philadelphia 76ers,Utah Jazz,0.5490905464609134
Sacramento Kings,Denver Nuggets,0.5213638128329074
San Antonio Spurs,Atlanta Hawks,0.5748311489408561
Los Angeles Lakers,Chicago Bulls,0.569358098106081
Atlanta Hawks,Los Angeles Clippers,0.5525188057949642
Charlotte Hornets,Washington Wizards,0.6226514973887342
Cleveland Cavaliers,Brooklyn Nets,0.5177687940877709
Houston Rockets,Denver Nuggets,0.5357829406661132
Memphis Grizzlies,Dallas Mavericks,0.5730078245788615
Miami Heat,Boston Celtics,0.5500733727999616
Minnesota Timberwolves,Orlando Magic,0.5096393614414565
New Orleans Pelicans,San Antonio Spurs,0.5378162346304071
New York Knicks,Toronto Raptors,0.5747919139257893
Oklahoma City Thunder,Golden State Warriors,0.5485166932031448
Philadelphia 76ers,Portland Trail Blazers,0.5222863282480982
Phoenix Suns,Milwaukee Bucks,0.5655022935473683
Sacramento Kings,Los Angeles Lakers,0.5309942666471708
Utah Jazz,Chicago Bulls,0.559244694749147
Atlanta Hawks,New York Knicks,0.5538537736705176
Boston Celtics,Orlando Magic,0.5325380218389921
Brooklyn Nets,Portland Trail Blazers,0.5228561057968029
Cleveland Cavaliers,Charlotte Hornets,0.5273926313105046
Denver Nuggets,Memphis Grizzlies,0.5205199972602457
Golden State Warriors,Chicago Bulls,0.5552210880413132
Indiana Pacers,Toronto Raptors,0.5673337730786744
Minnesota Timberwolves,Miami Heat,0.5280424107083007
Oklahoma City Thunder,Detroit Pistons,0.5273578271061843
Phoenix Suns,New Orleans Pelicans,0.529032809976532
Atlanta Hawks,Toronto Raptors,0.5816205110803429
Charlotte Hornets,San Antonio Spurs,0.5432803916693449
Dallas Mavericks,Oklahoma City Thunder,0.547633971155136
Golden State Warriors,New Orleans Pelicans,0.5374951450125983
Houston Rockets,New York Knicks,0.5596641671761069
Indiana Pacers,Boston Celtics,0.5461403243550524
Philadelphia 76ers,Orlando Magic,0.5193754656246562
Sacramento Kings,Los Angeles Clippers,0.5440179158194882
Utah Jazz,Milwaukee Bucks,0.5778204623777989
Washington Wizards,Portland Trail Blazers,0.5601299385685121
Chicago Bulls,Miami Heat,0.5536376867685285
Memphis Grizzlies,Brooklyn Nets,0.5501211684729455
Phoenix Suns,Minnesota Timberwolves,0.5236319841858128
Boston Celtics,Detroit Pistons,0.5360020254467955
Golden State Warriors,Sacramento Kings,0.5308375229585224
Houston Rockets,Brooklyn Nets,0.5497353230727667
Indiana Pacers,Orlando Magic,0.5287173089650038
Los Angeles Clippers,Los Angeles Lakers,0.5355077306845083
New York Knicks,Portland Trail Blazers,0.5391963456392267
Philadelphia 76ers,Cleveland Cavaliers,0.5602509767263402
San Antonio Spurs,Dallas Mavericks,0.5573771346281655
Chicago Bulls,Phoenix Suns,0.5021233870532668
Cleveland Cavaliers,Miami Heat,0.5354947386522102
Minnesota Timberwolves,Washington Wizards,0.6072166628708635
Sacramento Kings,Milwaukee Bucks,0.5788773415478125
Utah Jazz,Denver Nuggets,0.5202822087516396
Dallas Mavericks,Brooklyn Nets,0.5285659494119831
Phoenix Suns,Detroit Pistons,0.5085191521225781
Houston Rockets,Indiana Pacers,0.5693086083275949
Los Angeles Lakers,Golden State Warriors,0.5683153644265988
New Orleans Pelicans,Minnesota Timberwolves,0.5310497297215312
New York Knicks,Miami Heat,0.5545740350334644
Orlando Magic,Oklahoma City Thunder,0.5552596892204559
Philadelphia 76ers,Washington Wizards,0.6164733490815295
San Antonio Spurs,Memphis Grizzlies,0.548485051431467
Toronto Raptors,Charlotte Hornets,0.5381071808358814
Atlanta Hawks,Cleveland Cavaliers,0.5837250036727517
Boston Celtics,Philadelphia 76ers,0.5481162235676594
Denver Nuggets,Chicago Bulls,0.5314147082663747
Los Angeles Clippers,Utah Jazz,0.5687394264187207
Portland Trail Blazers,Milwaukee Bucks,0.5958002136732248
Chicago Bulls,Sacramento Kings,0.5366052966351071
Memphis Grizzlies,San Antonio Spurs,0.566688152171038
Miami Heat,Charlotte Hornets,0.5429098099114338
Oklahoma City Thunder,Minnesota Timberwolves,0.5345018879626191
Orlando Magic,Golden State Warriors,0.5601242023606273
Toronto Raptors,Indiana Pacers,0.54824423107311
Utah Jazz,New Orleans Pelicans,0.5415466993863296
Washington Wizards,Detroit Pistons,0.5606861352426524
Phoenix Suns,Boston Celtics,0.5007060897263267
Brooklyn Nets,Atlanta Hawks,0.5613089365437894
Cleveland Cavaliers,Memphis Grizzlies,0.5319827889344296
Dallas Mavericks,Los Angeles Clippers,0.53722728925824
Denver Nuggets,Los Angeles Lakers,0.5018823945145017
Milwaukee Bucks,Sacramento Kings,0.5408457877194213
Philadelphia 76ers,Detroit Pistons,0.5228496138221956
Portland Trail Blazers,New Orleans Pelicans,0.5598946370913245
Los Angeles Lakers,Houston Rockets,0.5698410406682567
Miami Heat,Golden State Warriors,0.5572318528437411
Minnesota Timberwolves,Los Angeles Clippers,0.5189836921104054
New York Knicks,Orlando Magic,0.5362970405124634
Oklahoma City Thunder,San Antonio Spurs,0.5412616102196919
Atlanta Hawks,Brooklyn Nets,0.5439006855211793
Boston Celtics,Milwaukee Bucks,0.576734688877652
Chicago Bulls,Cleveland Cavaliers,0.57598047166759
Charlotte Hornets,Orlando Magic,0.5259148842986894
Dallas Mavericks,Denver Nuggets,0.5145368736035534
Indiana Pacers,New York Knicks,0.5393697941186719
Memphis Grizzlies,Minnesota Timberwolves,0.5599985241553551
New Orleans Pelicans,Golden State Warriors,0.5450800097563754
Phoenix Suns,Philadelphia 76ers,0.5139014045264174
San Antonio Spurs,Detroit Pistons,0.5371463998647833
Utah Jazz,Washington Wizards,0.6299147133717833
Oklahoma City Thunder,Utah Jazz,0.5535625259342196
Portland Trail Blazers,Washington Wizards,0.6470311296672188
Phoenix Suns,Toronto Raptors,0.5054055820354021
Boston Celtics,Dallas Mavericks,0.5562414564976617
Charlotte Hornets,Golden State Warriors,0.5505300600992711
Cleveland Cavaliers,Sacramento Kings,0.5183723028064872
Indiana Pacers,Chicago Bulls,0.5543611226279689
Los Angeles Clippers,Minnesota Timberwolves,0.5497997800929559
Milwaukee Bucks,Detroit Pistons,0.5430531576406479
New Orleans Pelicans,Denver Nuggets,0.5070342043829276
New York Knicks,Memphis Grizzlies,0.5510854082460923
Orlando Magic,Atlanta Hawks,0.5767040433151526
San Antonio Spurs,Miami Heat,0.5519774574811483
Brooklyn Nets,Oklahoma City Thunder,0.5397071503445624
Philadelphia 76ers,Los Angeles Lakers,0.5156342329647084
Phoenix Suns,Washington Wizards,0.6181119537181655
Utah Jazz,Houston Rockets,0.5597302087603995
Charlotte Hornets,Chicago Bulls,0.5515818571095652
Detroit Pistons,Golden State Warriors,0.5493737746934453
Indiana Pacers,Cleveland Cavaliers,0.5694569324769322
Memphis Grizzlies,Toronto Raptors,0.5877165060653342
Milwaukee Bucks,Dallas Mavericks,0.5632356442682344
New Orleans Pelicans,Sacramento Kings,0.5216814807882286
Orlando Magic,Denver Nuggets,0.5222337731487351
San Antonio Spurs,Boston Celtics,0.5510788131636071
Atlanta Hawks,Orlando Magic,0.5432525979917874
Brooklyn Nets,Miami Heat,0.5383121807639404
Chicago Bulls,New York Knicks,0.5459857505687593
Charlotte Hornets,Los Angeles Lakers,0.5221777242303447
Cleveland Cavaliers,Philadelphia 76ers,0.53275775589123
Los Angeles Clippers,Washington Wizards,0.6351370656018496
Memphis Grizzlies,Oklahoma City Thunder,0.5690282139701298
Milwaukee Bucks,Utah Jazz,0.5690986930121568
Phoenix Suns,San Antonio Spurs,0.5384937299827304
Portland Trail Blazers,Houston Rockets,0.5779176105814702
Detroit Pistons,Boston Celtics,0.5421926263897743
Indiana Pacers,Denver Nuggets,0.5153410607302844
Minnesota Timberwolves,Dallas Mavericks,0.533486752630177
New Orleans Pelicans,Philadelphia 76ers,0.5360565557298709
New York Knicks,Atlanta Hawks,0.5773966820464403
Sacramento Kings,Toronto Raptors,0.573245460969886
Chicago Bulls,Boston Celtics,0.5527396742114355
Golden State Warriors,Portland Trail Blazers,0.5324894560115125
Houston Rockets,New Orleans Pelicans,0.556945441859722
Los Angeles Clippers,Toronto Raptors,0.5776757121230984
Memphis Grizzlies,Miami Heat,0.5676509205019754
Oklahoma City Thunder,Charlotte Hornets,0.534148420635523
Brooklyn Nets,Washington Wizards,0.6170131647129881
Cleveland Cavaliers,Atlanta Hawks,0.5585167376101751
Dallas Mavericks,San Antonio Spurs,0.5452705756759737
Detroit Pistons,Denver Nuggets,0.511365155067539
Minnesota Timberwolves,Philadelphia 76ers,0.525300442692839
New York Knicks,Los Angeles Lakers,0.532568981537036
Sacramento Kings,Phoenix Suns,0.5014897339775827
Boston Celtics,Denver Nuggets,0.5191715958005455
Chicago Bulls,Utah Jazz,0.5649092228373928
Houston Rockets,Charlotte Hornets,0.5592642464416064
Indiana Pacers,Oklahoma City Thunder,0.5484314486854635
Miami Heat,Portland Trail Blazers,0.5355744881474617
New Orleans Pelicans,Milwaukee Bucks,0.5648324060064742
Orlando Magic,Los Angeles Clippers,0.5448826441977271
Phoenix Suns,Toronto Raptors,0.5598275536357518
Washington Wizards,Memphis Grizzlies,0.5719077105843995
Atlanta Hawks,Detroit Pistons,0.5467047870742036
Brooklyn Nets,New York Knicks,0.5306202607819064
Cleveland Cavaliers,Los Angeles Lakers,0.5133741995388131
Golden State Warriors,Dallas Mavericks,0.5533123436938385
Minnesota Timberwolves,Sacramento Kings,0.5108961766356618
Boston Celtics,Utah Jazz,0.5621254023445162
Charlotte Hornets,Miami Heat,0.5442533419506396
Denver Nuggets,New Orleans Pelicans,0.5135712125942549
Houston Rockets,San Antonio Spurs,0.5663053139176837
Indiana Pacers,Detroit Pistons,0.5321847535592081
Memphis Grizzlies,Atlanta Hawks,0.5902985339118477
Milwaukee Bucks,Chicago Bulls,0.5651353113287062
Orlando Magic,Portland Trail Blazers,0.5384911406902864
Philadelphia 76ers,Oklahoma City Thunder,0.5391397587567734
Toronto Raptors,Brooklyn Nets,0.5285064691838137
Washington Wizards,Los Angeles Clippers,0.5664630334119811
Charlotte Hornets,Portland Trail Blazers,0.5288220715752605
Cleveland Cavaliers,Utah Jazz,0.5468494296856267
Houston Rockets,Milwaukee Bucks,0.5929166870781104
Memphis Grizzlies,Boston Celtics,0.5667590388174052
Miami Heat,Los Angeles Clippers,0.5419720273355046
Phoenix Suns,Minnesota Timberwolves,0.5236319841858128
New York Knicks,Oklahoma City Thunder,0.5559603998776157
San Antonio Spurs,Dallas Mavericks,0.5573771346281655
Brooklyn Nets,Indiana Pacers,0.540378413712121
Detroit Pistons,Orlando Magic,0.5247499399293948
Toronto Raptors,Sacramento Kings,0.5291087612471529
Washington Wizards,Cleveland Cavaliers,0.5974053642640191
Atlanta Hawks,Miami Heat,0.5614796090190759
Chicago Bulls,Philadelphia 76ers,0.5509179549019843
Charlotte Hornets,New York Knicks,0.5365751919090969
Phoenix Suns,Dallas Mavericks,0.5053459143295409
Houston Rockets,Utah Jazz,0.5784576949483792
Indiana Pacers,Boston Celtics,0.5461403243550524
Los Angeles Lakers,Golden State Warriors,0.5683153644265988
Minnesota Timberwolves,Portland Trail Blazers,0.5125538490744281
Oklahoma City Thunder,Denver Nuggets,0.5105001948171048
San Antonio Spurs,Los Angeles Clippers,0.5429805302671719
Milwaukee Bucks,Cleveland Cavaliers,0.5801425689764322
Philadelphia 76ers,Sacramento Kings,0.520630798666712
Washington Wizards,New Orleans Pelicans,0.5650813991218644
Atlanta Hawks,Indiana Pacers,0.5635262270677942
Boston Celtics,Miami Heat,0.5508390894735367
Brooklyn Nets,Sacramento Kings,0.5212007406246046
Chicago Bulls,Orlando Magic,0.5353544620119973
Charlotte Hornets,Toronto Raptors,0.564571864983252
Dallas Mavericks,Detroit Pistons,0.5313831004228945
Denver Nuggets,Minnesota Timberwolves,0.51627448942667
Golden State Warriors,Memphis Grizzlies,0.5444053486384576
Houston Rockets,Los Angeles Lakers,0.5453762558417681
Los Angeles Clippers,Phoenix Suns,0.5060229920801586
Oklahoma City Thunder,Utah Jazz,0.5535625259342196
Portland Trail Blazers,San Antonio Spurs,0.5692403930671041
Cleveland Cavaliers,Chicago Bulls,0.542845793093895
New York Knicks,Boston Celtics,0.5536763876196747
Philadelphia 76ers,Toronto Raptors,0.5581176469255142
Phoenix Suns,Memphis Grizzlies,0.5359602924258904
Utah Jazz,San Antonio Spurs,0.5509696043468929
Brooklyn Nets,Washington Wizards,0.6170131647129881
Detroit Pistons,New York Knicks,0.5354133022025116
Golden State Warriors,Los Angeles Lakers,0.5258504553368547
Houston Rockets,Los Angeles Clippers,0.5583327209376172
Miami Heat,Dallas Mavericks,0.5563744447978382
Milwaukee Bucks,Charlotte Hornets,0.5498107536843767
Oklahoma City Thunder,Atlanta Hawks,0.5651944201621661
Orlando Magic,New Orleans Pelicans,0.5434876607874024
Portland Trail Blazers,Denver Nuggets,0.5387563417672245
Atlanta Hawks,Dallas Mavericks,0.5668546313215287
Boston Celtics,Chicago Bulls,0.5581476795210071
Charlotte Hornets,Milwaukee Bucks,0.5702323951722922
Golden State Warriors,Denver Nuggets,0.5162106118449586
Indiana Pacers,Brooklyn Nets,0.5293681535160547
Los Angeles Lakers,Portland Trail Blazers,0.5467591731777316
Memphis Grizzlies,Los Angeles Clippers,0.5587171128943355
Miami Heat,New Orleans Pelicans,0.5405756447183884
Phoenix Suns,Minnesota Timberwolves,0.5317285076596594
Sacramento Kings,San Antonio Spurs,0.5520415904279948
Toronto Raptors,Philadelphia 76ers,0.5434559654774743
Utah Jazz,Oklahoma City Thunder,0.5533276438183268
Washington Wizards,Orlando Magic,0.5572541936705586
Boston Celtics,Washington Wizards,0.6288768661606384
Golden State Warriors,Cleveland Cavaliers,0.5703103465728584
Los Angeles Lakers,Minnesota Timberwolves,0.5544158897552149
New York Knicks,Philadelphia 76ers,0.5518553902789348
